diag;nb;categ;nb_categ;ponderation
L088;36389;L08;40907;89,0
W6429;346;W64;485;71,3
X2003;3;X20;326;0,9
S910;2999;S91;18122;16,5
O309;12;O30;18452;0,1
H613;804;H61;11297;7,1
C887;104;C88;32616;0,3
A321;435;A32;1200;36,2
N19;3646;N19;3646;100,0
A150;3386;A15;6382;53,1
X3141;1;X31;235;0,4
Y0528;4;Y05;1008;0,4
D412;523;D41;17600;3,0
Y562;1;Y56;720;0,1
E643;16;E64;158;10,1
O249;1241;O24;173104;0,7
W4698;8;W46;26;30,8
D321;1268;D32;35883;3,5
F1352;12;F13;10959;0,1
V061;13;V06;41;31,7
Y501;106;Y50;150;70,7
W1392;109;W13;4677;2,3
X4088;4;X40;1238;0,3
E289;50;E28;10869;0,5
X0401;29;X04;850;3,4
Z291;90016;Z29;673013;13,4
Z80804;830;Z80;224878;0,4
M0692;78;M06;82822;0,1
V1649;1;V16;29;3,4
M678;2755;M67;14137;19,5
W814;1;W81;12;8,3
W522;4;W52;30;13,3
D600;535;D60;2122;25,2
G936;31853;G93;111107;28,7
W2690;49;W26;7450;0,7
X1928;1;X19;576;0,2
X8328;10;X83;1019;1,0
V1818;5;V18;8313;0,1
V224;119;V22;345;34,5
R53+0;262638;R53;559094;47,0
X9990;2;X99;3054;0,1
M7985;227;M79;143002;0,2
S260;336;S26;5408;6,2
Z244;23;Z24;9677;0,2
Z413;7;Z41;70907;0,0
W1402;6;W14;1243;0,5
X0391;1;X03;109;0,9
V9680;75;V96;300;25,0
Z762;36024;Z76;66004;54,6
F323;4339;F32;240419;1,8
V425;37;V42;104;35,6
T061;6;T06;1118;0,5
P590;24867;P59;75781;32,8
Q373;152;Q37;3173;4,8
X470+3;1;X47;1900;0,1
X848;38;X84;2488;1,5
W0329;12;W03;878;1,4
Z100;5;Z10;160;3,1
H910;212;H91;51968;0,4
A923;29;A92;114;25,4
W6991;3;W69;291;1,0
D000;1505;D00;2794;53,9
E1190;387222;E11;1664933;23,3
H138;70;H13;1297;5,4
J983;53;J98;124854;0,0
R846;52;R84;494;10,5
T862;2135;T86;33727;6,3
I318;3653;I31;79363;4,6
F02020;3;F02;26783;0,0
V545;20;V54;49;40,8
W3449;4;W34;202;2,0
M8602;38;M86;61785;0,1
J36;16167;J36;16167;100,0
Y2932;1;Y29;64;1,6
X2008;4;X20;326;1,2
Y702;6;Y70;22;27,3
R194;20365;R19;69601;29,3
S636;2745;S63;15409;17,8
M1004;1711;M10;66522;2,6
A327;369;A32;1200;30,8
M8704;3;M87;10803;0,0
X270;1;X27;10;10,0
X3194;1;X31;235;0,4
Y0593;2;Y05;1008;0,2
C166;1801;C16;117010;1,5
Y565;34;Y56;720;4,7
N912;338;N91;5034;6,7
V7982;3;V79;66;4,5
W461;3;W46;26;11,5
D320;29437;D32;35883;82,0
F136;4;F13;10959;0,0
V0699;1;V06;41;2,4
Y508;27;Y50;150;18,0
W1381;9;W13;4677;0,2
X402;22;X40;1238;1,8
